date,minimum,maximum,range,mean,std
2021-01-30,8.70000553131,11.444732666,2.7447271347,9.17295381464,0.564608127572
2021-02-01,2.5675573349,4.6427283287,2.0751709938,4.23377876885,0.302039736062
2021-02-02,1.20639836788,4.36929607391,3.16289770603,2.35304661592,0.5209551561
2021-02-03,5.09048461914,8.74336147308,3.65287685394,5.87523039624,0.608710259639
2021-02-04,2.0304330974e-05,1.80114459991,1.80112429558,0.441123625826,0.342295948944
2021-02-05,5.4000415802,12.2291574478,6.82911586761,6.50876935912,1.15007465496
2021-02-06,1.20868897438,2.35506296158,1.1463739872,1.43515826191,0.174709244612
2021-02-07,10.15645504,15.2124147415,5.05595970154,13.0486729057,0.648679185766
2021-02-08,7.9000043869,8.60497093201,0.704966545105,8.05859745873,0.131220390581
2021-02-09,34.5410499573,50.1704177856,15.6293678284,39.1899635645,2.52901646777
2021-02-11,8.42784500122,17.953245163,9.52540016174,11.125698016,1.57974957305
2021-02-12,0.901484549046,2.54288244247,1.64139789343,1.40493371016,0.221527818291
2021-02-13,1.72162302e-07,0.0172333568335,0.0172331846712,0.0029865760187,0.00271803826477
2021-02-14,7.851541e-07,0.0793661922216,0.0793654070675,0.0187969059896,0.0149116969109
2021-02-15,4.570667e-08,0.0150921475142,0.0150921018076,0.00181391047418,0.00227484240354
2021-02-16,0.393582433462,5.85100984573,5.45742741227,1.74809308396,1.03160088002
2021-02-17,0.14717386663,0.293534517288,0.146360650659,0.249736104345,0.0284421647713
2021-02-18,5.86004161835,7.35499477386,1.49495315552,6.93222714942,0.213027245502
2021-02-19,0.419044196606,2.19998383522,1.78093963861,1.74297575101,0.374721023432
2021-02-20,35.7704238892,40.2999801636,4.52955627441,39.5844727858,0.706597838896
2021-02-21,14.8000583649,25.5823040009,10.782245636,16.2587401867,1.70025574365
2021-02-22,0.100001268089,0.190174892545,0.0901736244559,0.119404533188,0.0175809551273
2021-02-24,0.0556116439402,1.55456292629,1.49895128235,0.2859585022,0.29765940846
2021-02-25,8.90007019043,18.824098587,9.92402839661,10.8654539055,1.79626857786
2021-02-26,1.153807148e-06,0.0921355262399,0.0921343724327,0.0286215209081,0.0242720580236
2021-02-27,0.0,0.0,0.0,0.0,0.0
2021-02-28,0.000178231362952,0.00434223515913,0.00416400379618,0.00183117692206,0.000916714250069
2021-03-01,1.961225735e-06,0.146124333143,0.146122371917,0.0460459634087,0.0389202186627
2021-03-02,0.0,0.0,0.0,0.0,0.0
2021-03-03,0.0102221034467,0.099999114871,0.0897770114243,0.0726196158844,0.023644003303
2021-03-04,0.868823051453,4.78705263138,3.91822957993,3.22488493095,0.734564400694
2021-03-05,3.50793480873,8.59997463226,5.09203982353,7.31972829501,1.24503356969
2021-03-06,2.61769515e-07,0.0294389538467,0.0294386920772,0.00427628410213,0.004973154695
2021-03-07,2.22298084e-07,0.0439756475389,0.0439754252408,0.00576596300334,0.00686571820932
2021-03-08,0.0,0.0,0.0,0.0,0.0
2021-03-09,0.0,0.0,0.0,0.0,0.0
2021-03-10,0.0,0.0,0.0,0.0,0.0
2021-03-11,1.54772460461,2.78658604622,1.23886144161,2.44545045458,0.177229792084
2021-03-12,0.340158939362,1.42610168457,1.08594274521,0.531666844347,0.168082100068
2021-03-13,0.0102221034467,0.099999114871,0.0897770114243,0.0726196158844,0.023644003303
2021-03-14,0.0,0.00481776380911,0.00481776380911,0.00143482296343,0.00123017354771
2021-03-15,0.0146203543991,0.0999993011355,0.0853789467365,0.0767859452186,0.0216536173855
2021-03-16,0.0,0.0,0.0,0.0,0.0
2021-03-17,0.0,0.0,0.0,0.0,0.0
2021-03-18,0.0,0.0,0.0,0.0,0.0
2021-03-19,0.0,0.0,0.0,0.0,0.0
2021-03-20,0.0,0.0,0.0,0.0,0.0
2021-03-22,0.0,0.0,0.0,0.0,0.0
2021-03-23,0.013138175942,0.0999991595745,0.0868609836325,0.0744335264238,0.0223674486823
2021-03-24,5.48480045e-07,0.18110576272,0.18110521424,0.0217669257286,0.0272981087227
2021-03-25,0.0112765105441,0.0999991446733,0.0887226341292,0.0733370273058,0.0231041846971
2021-03-26,0.0102221034467,0.099999114871,0.0897770114243,0.0726196158844,0.023644003303
2021-03-27,0.0,0.0,0.0,0.0,0.0
2021-03-28,0.0,0.0,0.0,0.0,0.0
2021-03-29,0.0160542484373,0.099999204278,0.0839449558407,0.0762577480407,0.0212355837349
2021-03-30,0.0,0.0,0.0,0.0,0.0
2021-03-31,0.0,0.0,0.0,0.0,0.0
2021-04-01,7.95431804657,12.1295137405,4.17519569397,8.87945646416,0.704032746808
2021-04-02,0.100002087653,1.41194760799,1.31194552034,0.280324749488,0.269537217346
2021-04-03,7.79028255e-07,0.0572372451425,0.0572364661142,0.014605114095,0.0113254227247
2021-04-04,4.570667e-08,0.0150921475142,0.0150921018076,0.00181391047418,0.00227484240354
2021-04-05,4.570667e-08,0.0150921475142,0.0150921018076,0.00181391047418,0.00227484240354
2021-04-06,1.82826682e-07,0.0634800568223,0.0634798739956,0.00793179019633,0.0097771599694
2021-04-07,0.0279823709279,0.199998319149,0.172015948221,0.149543201074,0.0441886422826
2021-04-08,7.905085113e-06,0.846237957478,0.846230052392,0.16177144996,0.14942443745
2021-04-09,6.82568359375,21.8208312988,14.9951477051,9.95629252622,2.71503743827
2021-04-10,13.9486780167,35.5997924805,21.6511144638,29.8232522393,4.66783481212
2021-04-11,0.200006842613,0.797080397606,0.597073554993,0.349388338947,0.14118313075
2021-04-12,4.22317299e-07,0.036202583462,0.0362021611447,0.00460827964887,0.00537078716412
2021-04-13,5.00007629395,20.2071800232,15.2071037292,8.01989307374,3.38987520346
2021-04-14,3.34515357018,12.2210731506,8.87591958046,5.65587490356,1.51674188253
2021-04-15,0.0551316775382,0.210932463408,0.155800785869,0.122464029291,0.0163953659074
2021-04-16,0.013138175942,0.0999991595745,0.0868609836325,0.0744335264238,0.0223674486823
2021-04-17,0.0116671398282,0.0999992415309,0.0883321017027,0.0747577578554,0.0228460983191
2021-04-18,0.0,0.0,0.0,0.0,0.0
2021-04-19,0.500003814697,1.38084280491,0.880838990211,0.692664699054,0.204268840943
2021-04-20,0.489132374525,1.04899644852,0.559864073992,0.568528770113,0.114240782329
2021-04-21,12.8084030151,19.8518180847,7.04341506958,15.4252634725,1.00954113177
2021-04-22,0.10001078248,3.77557992935,3.67556914687,0.688334568323,0.761430652948
2021-04-23,0.489179641008,7.07775688171,6.58857724071,2.08744643675,1.13746102043
2021-04-24,0.715430021286,4.21652269363,3.50109267235,1.93154190297,0.537565952298
2021-04-25,21.6000652313,32.3228874207,10.7228221893,23.8547094545,2.2402753812
2021-04-26,1.62710416317,9.09998416901,7.47288000584,7.81374170052,1.6780534172
2021-04-27,1.139789333e-06,0.158754393458,0.158753253669,0.02466941634,0.0255852025954
2021-04-28,0.200019612908,1.63723266125,1.43721304834,0.48787820445,0.254882376735
